pollster,sponsor,start_date,end_date,release_date,sample_size,population,measure,option,pct,source_url,notes,days_old,poll_weight,measure_group,sign,signed_pct,weighted_signed_pct,last_updated
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,direction_of_state,wrong_direction,48.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on state direction.,203,0.31149788813268564,direction_of_state,-1.0,-48.0,-14.95189863036891,2026-05-26
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,direction_of_state,no_opinion,12.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on state direction.,203,0.31149788813268564,direction_of_state,0.0,0.0,0.0,2026-05-26
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,matchup,reelect_moore,31.0,https://marylandmatters.org/2025/11/05/poll-nearly-half-of-voters-back-moore-as-field-of-challengers-continues-to-develop/,November 2025 UMBC generic governor matchup.,203,0.31149788813268564,matchup,1.0,31.0,9.656434532113256,2026-05-26
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,matchup,republican_candidate,31.0,https://marylandmatters.org/2025/11/05/poll-nearly-half-of-voters-back-moore-as-field-of-challengers-continues-to-develop/,November 2025 UMBC generic governor matchup.,203,0.31149788813268564,matchup,0.0,0.0,0.0,2026-05-26
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,matchup,third_party_candidate,18.0,https://marylandmatters.org/2025/11/05/poll-nearly-half-of-voters-back-moore-as-field-of-challengers-continues-to-develop/,November 2025 UMBC generic governor matchup.,203,0.31149788813268564,matchup,0.0,0.0,0.0,2026-05-26
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,matchup,undecided,20.0,https://marylandmatters.org/2025/11/05/poll-nearly-half-of-voters-back-moore-as-field-of-challengers-continues-to-develop/,November 2025 UMBC generic governor matchup.,203,0.31149788813268564,matchup,0.0,0.0,0.0,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,job_approval,approve,51.7,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales statewide poll on Wes Moore approval.,133,0.46614293720294997,job_approval,1.0,51.7,24.099589853392516,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,job_approval,disapprove,41.0,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales statewide poll on Wes Moore approval.,133,0.46614293720294997,job_approval,-1.0,-41.0,-19.11186042532095,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,job_approval,no_opinion,7.3,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales statewide poll on Wes Moore approval.,133,0.46614293720294997,job_approval,0.0,0.0,0.0,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,direction_of_state,right_direction,47.0,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales poll on state direction.,133,0.46614293720294997,direction_of_state,1.0,47.0,21.90871804853865,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,direction_of_state,wrong_direction,44.0,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales poll on state direction.,133,0.46614293720294997,direction_of_state,-1.0,-44.0,-20.5102892369298,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,direction_of_state,no_opinion,9.0,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales poll on state direction.,133,0.46614293720294997,direction_of_state,0.0,0.0,0.0,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,matchup,reelect_moore,49.9,https://marylandmatters.org/wp-content/uploads/2026/01/260113-Gonzales_20Poll_2C_20Part_201_20-_20January_202026.pdf,January 2026 Gonzales governor re-elect matchup.,133,0.46614293720294997,matchup,1.0,49.9,23.2605325664272,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,matchup,republican_challenger,28.0,https://marylandmatters.org/wp-content/uploads/2026/01/260113-Gonzales_20Poll_2C_20Part_201_20-_20January_202026.pdf,January 2026 Gonzales governor re-elect matchup.,133,0.46614293720294997,matchup,-1.0,-28.0,-13.0520022416826,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,matchup,third_party_candidate,5.8,https://marylandmatters.org/wp-content/uploads/2026/01/260113-Gonzales_20Poll_2C_20Part_201_20-_20January_202026.pdf,January 2026 Gonzales governor re-elect matchup.,133,0.46614293720294997,matchup,0.0,0.0,0.0,2026-05-26
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,matchup,undecided,16.3,https://marylandmatters.org/wp-content/uploads/2026/01/260113-Gonzales_20Poll_2C_20Part_201_20-_20January_202026.pdf,January 2026 Gonzales governor re-elect matchup.,133,0.46614293720294997,matchup,0.0,0.0,0.0,2026-05-26
UMBC Institute of Politics,Maryland adults poll,2026-03-17,2026-03-22,2026-04-01,804,Maryland adults,job_approval,approve,48.0,https://marylandmatters.org/2026/04/01/moore-job-approval-falls-below-50-for-the-first-time/,April 2026 UMBC poll on Wes Moore approval.,55,0.7296438891099862,job_approval,1.0,48.0,35.02290667727934,2026-05-26
UMBC Institute of Politics,Maryland adults poll,2026-03-17,2026-03-22,2026-04-01,804,Maryland adults,job_approval,disapprove,42.0,https://marylandmatters.org/2026/04/01/moore-job-approval-falls-below-50-for-the-first-time/,April 2026 UMBC poll on Wes Moore approval.,55,0.7296438891099862,job_approval,-1.0,-42.0,-30.64504334261942,2026-05-26
UMBC Institute of Politics,Maryland adults poll,2026-03-17,2026-03-22,2026-04-01,804,Maryland adults,job_approval,no_opinion,9.0,https://marylandmatters.org/2026/04/01/moore-job-approval-falls-below-50-for-the-first-time/,April 2026 UMBC poll on Wes Moore approval.,55,0.7296438891099862,job_approval,0.0,0.0,0.0,2026-05-26
UMBC Institute of Politics,Maryland adults poll,2026-03-17,2026-03-22,2026-04-01,804,Maryland adults,direction_of_state,right_direction,41.0,https://marylandmatters.org/2026/04/01/moore-job-approval-falls-below-50-for-the-first-time/,April 2026 UMBC poll on state direction; article described nearly 6 in 10 as wrong direction.,55,0.7296438891099862,direction_of_state,1.0,41.0,29.915399453509437,2026-05-26
UMBC Institute of Politics,Maryland adults poll,2026-03-17,2026-03-22,2026-04-01,804,Maryland adults,direction_of_state,wrong_direction,59.0,https://marylandmatters.org/2026/04/01/moore-job-approval-falls-below-50-for-the-first-time/,April 2026 UMBC poll on state direction; article described nearly 6 in 10 as wrong direction.,55,0.7296438891099862,direction_of_state,-1.0,-59.0,-43.048989457489185,2026-05-26
